Year,Season,Active_Holes,Total_Holes,Sett Type,Trial_Code,Sett_ID_Code
4,Spring,1,4,Outlier,Area3,Area3 Sett160
4,Spring,0,1,Outlier,Area3,Area3 Sett160
5,Autumn,0,1,Outlier,Area3,Area3 Sett160
1,Summer,0,1,Outlier,Area3,Area3 Sett161
2,Spring,0,1,Outlier,Area3,Area3 Sett161
3,Spring,0,2,Outlier,Area3,Area3 Sett161
3,Autumn,0,2,Outlier,Area3,Area3 Sett161
4,Spring,0,2,Outlier,Area3,Area3 Sett161
1,Summer,0,5,Outlier,Area3,Area3 Sett162
2,Spring,0,4,Outlier,Area3,Area3 Sett162
