"parentId","fact","value","factLabel","valueLabel","hab","year","month","NNN","EEE","kausi","year2","route","feeders","f1","f2","fhab","loglengthkm","fkausi","year2st","NNNst","EEEst","fyear"
"JX.1201270","routeLengthBiotopeC",763,"Route length countryside","763","A",2021,1,673,340,2,2021,"MNP.236",1,1,0,"C",-0.27049724769768,"2",15.0253451256483,-13.8395803078346,3.43241559172475,"2021"
"JX.1201271","routeLengthBiotopeC",2600,"Route length countryside","2600","A",2021,1,670,324,2,2021,"MNP.155",7,7,0,"C",0.955511445027436,"2",15.0253451256483,-16.8395803078346,-12.5675844082753,"2021"
"JX.1201276","routeLengthBiotopeC",1200,"Route length countryside","1200","A",2021,1,701,352,2,2021,"MNP.4066",3,3,0,"C",0.182321556793955,"2",15.0253451256483,14.1604196921654,15.4324155917247,"2021"
"JX.1201281","routeLengthBiotopeC",4100,"Route length countryside","4100","A",2021,1,680,333,2,2021,"MNP.342",4,2,2,"C",1.41098697371026,"2",15.0253451256483,-6.83958030783458,-3.56758440827525,"2021"
"JX.1201291","routeLengthBiotopeC",1500,"Route length countryside","1500","A",2021,1,673,320,2,2021,"MNP.3826",0,0,0,NA,0.405465108108164,"2",15.0253451256483,-13.8395803078346,-16.5675844082753,"2021"
"JX.1201313","routeLengthBiotopeC",100,"Route length countryside","100","A",2021,1,682,332,2,2021,"MNP.3604",0,0,0,NA,-2.30258509299405,"2",15.0253451256483,-4.83958030783458,-4.56758440827525,"2021"
"JX.1201329","routeLengthBiotopeC",1000,"Route length countryside","1000","A",2020,12,671,324,2,2021,"MNP.4059",0,0,0,NA,0,"2",15.0253451256483,-15.8395803078346,-12.5675844082753,"2020"
"JX.1201330","routeLengthBiotopeC",3050,"Route length countryside","3050","A",2021,1,688,342,2,2021,"MNP.10174",6,4,2,"C",1.11514159061932,"2",15.0253451256483,1.16041969216542,5.43241559172475,"2021"
"JX.1201369","routeLengthBiotopeC",5000,"Route length countryside","5000","A",2021,1,728,340,2,2021,"MNP.997",14,13,1,"C",1.6094379124341,"2",15.0253451256483,41.1604196921654,3.43241559172475,"2021"
"JX.1201382","routeLengthBiotopeC",2750,"Route length countryside","2750","A",2021,1,669,340,2,2021,"MNP.1855",5,4,1,"C",1.01160091167848,"2",15.0253451256483,-17.8395803078346,3.43241559172475,"2021"
"JX.1201385","routeLengthBiotopeC",1100,"Route length countryside","1100","A",2021,1,670,343,2,2021,"MNP.4111",0,0,0,NA,0.0953101798043249,"2",15.0253451256483,-16.8395803078346,6.43241559172475,"2021"
"JX.120139","routeLengthBiotopeC",2500,"Route length countryside","2500","A",1986,12,698,357,2,1987,"MNP.595",7,6,1,"C",0.916290731874155,"2",-18.9746548743517,11.1604196921654,20.4324155917247,"1986"
"JX.1201396","routeLengthBiotopeC",4700,"Route length countryside","4700","A",2021,1,667,336,2,2021,"MNP.67",0,0,0,NA,1.54756250871601,"2",15.0253451256483,-19.8395803078346,-0.567584408275252,"2021"
"JX.1201406","routeLengthBiotopeC",100,"Route length countryside","100","A",2021,1,667,335,2,2021,"MNP.4033",0,0,0,NA,-2.30258509299405,"2",15.0253451256483,-19.8395803078346,-1.56758440827525,"2021"
"JX.1201407","routeLengthBiotopeC",1500,"Route length countryside","1500","A",2021,1,672,324,2,2021,"MNP.19398",2,2,0,"C",0.405465108108164,"2",15.0253451256483,-14.8395803078346,-12.5675844082753,"2021"
"JX.1201409","routeLengthBiotopeC",500,"Route length countryside","500","A",2020,12,672,338,2,2021,"MNP.223",1,0,1,NA,-0.693147180559945,"2",15.0253451256483,-14.8395803078346,1.43241559172475,"2020"
"JX.1201411","routeLengthBiotopeC",1000,"Route length countryside","1000","A",2021,1,674,346,2,2021,"MNP.3686",1,0,1,NA,0,"2",15.0253451256483,-12.8395803078346,9.43241559172475,"2021"
"JX.1201419","routeLengthBiotopeC",4300,"Route length countryside","4300","A",2021,1,711,350,2,2021,"MNP.3526",4,0,4,NA,1.45861502269952,"2",15.0253451256483,24.1604196921654,13.4324155917247,"2021"
"JX.120142","routeLengthBiotopeC",2500,"Route length countryside","2500","A",1987,12,698,357,2,1988,"MNP.595",7,6,1,"C",0.916290731874155,"2",-17.9746548743517,11.1604196921654,20.4324155917247,"1987"
"JX.1201420","routeLengthBiotopeC",1100,"Route length countryside","1100","A",2021,1,712,350,2,2021,"MNP.3798",1,0,1,NA,0.0953101798043249,"2",15.0253451256483,25.1604196921654,13.4324155917247,"2021"
"JX.120145","routeLengthBiotopeC",2500,"Route length countryside","2500","A",1988,12,698,357,2,1989,"MNP.595",7,5,2,"C",0.916290731874155,"2",-16.9746548743517,11.1604196921654,20.4324155917247,"1988"
"JX.1201457","routeLengthBiotopeC",1800,"Route length countryside","1800","A",2021,1,678,335,2,2021,"MNP.3635",5,5,0,"C",0.587786664902119,"2",15.0253451256483,-8.83958030783458,-1.56758440827525,"2021"
"JX.1201464","routeLengthBiotopeC",1200,"Route length countryside","1200","A",2021,1,669,333,2,2021,"MNP.3900",2,1,1,"C",0.182321556793955,"2",15.0253451256483,-17.8395803078346,-3.56758440827525,"2021"
"JX.1201473","routeLengthBiotopeC",2000,"Route length countryside","2000","A",2021,1,709,340,2,2021,"MNP.674",1,0,1,NA,0.693147180559945,"2",15.0253451256483,22.1604196921654,3.43241559172475,"2021"
"JX.120148","routeLengthBiotopeC",2500,"Route length countryside","2500","A",1989,12,698,357,2,1990,"MNP.595",9,7,2,"C",0.916290731874155,"2",-15.9746548743517,11.1604196921654,20.4324155917247,"1989"
